casualty_class,gender,age,severe,pedestrian_location,pedestrian_movement,travel,year
passenger,male,32,True,N/A,N/A,pedestrian,2013
passenger,male,34,False,N/A,N/A,pedestrian,2008
passenger,female,57,False,N/A,N/A,car,2010
passenger,male,37,False,N/A,N/A,car,2011
passenger,female,23,False,N/A,N/A,car,2007
passenger,male,20,False,N/A,N/A,car,2011
pedestrian,male,44,False,Not on Crossing,Drivers N/Side Msk,bicycle,2012
driver,male,42,False,N/A,N/A,car,2008
passenger,male,57,False,N/A,N/A,car,2008
passenger,female,42,True,N/A,N/A,other,2006
passenger,female,39,False,N/A,N/A,car,2013
driver,female,24,True,N/A,N/A,car,2005
passenger,female,46,False,N/A,N/A,car,2010
passenger,male,46,False,N/A,N/A,pedestrian,2013
passenger,female,34,False,N/A,N/A,taxi,2011
passenger,female,65,False,N/A,N/A,car,2010
passenger,female,37,False,N/A,N/A,motorbike,2010
passenger,female,43,True,N/A,N/A,motorbike,2009
passenger,male,31,False,N/A,N/A,pedestrian,2009
pedestrian,female,33,True,In road,Unknown Or Other,bicycle,2009
passenger,female,Unknown,False,N/A,N/A,pedestrian,2012
passenger,female,Unknown,False,N/A,N/A,pedestrian,2010
pedestrian,female,88,False,Unknown,Unknown Or Other,bicycle,2005
passenger,female,26,False,N/A,N/A,motorbike,2014
driver,male,Unknown,False,N/A,N/A,car,2007
passenger,male,22,False,N/A,N/A,motorbike,2005
pedestrian,female,13,True,Not on Crossing,Drivers N/Side,bicycle,2010
passenger,male,Unknown,False,N/A,N/A,car,2014
pedestrian,male,Unknown,False,Not on Crossing,Drivers O/Side,bicycle,2007
passenger,female,54,False,N/A,N/A,pedestrian,2014
pedestrian,female,29,False,Footpath,Unknown Or Other,bicycle,2010
pedestrian,male,35,False,Not on Crossing,Drivers N/Side,bicycle,2005
passenger,female,38,False,N/A,N/A,pedestrian,2008
driver,female,30,False,N/A,N/A,car,2007
passenger,female,30,False,N/A,N/A,motorbike,2008
passenger,male,24,False,N/A,N/A,car,2010
passenger,female,39,False,N/A,N/A,car,2012
pedestrian,male,45,False,Not on Crossing,Drivers N/Side,bicycle,2010
passenger,female,44,False,N/A,N/A,pedestrian,2014
passenger,male,42,False,N/A,N/A,car,2011
passenger,female,45,False,N/A,N/A,car,2012
driver,male,40,False,N/A,N/A,car,2005
pedestrian,female,28,False,Pedestrian Crossing,Drivers N/Side,bicycle,2009
passenger,female,27,True,N/A,N/A,pedestrian,2010
driver,male,59,False,N/A,N/A,bus,2011
passenger,female,57,False,N/A,N/A,pedestrian,2009
passenger,female,43,False,N/A,N/A,pedestrian,2012
passenger,female,32,False,N/A,N/A,motorbike,2008
passenger,female,39,False,N/A,N/A,pedestrian,2012
driver,female,19,False,N/A,N/A,car,2012
passenger,female,13,False,N/A,N/A,pedestrian,2009
passenger,male,26,False,N/A,N/A,car,2014
passenger,female,44,False,N/A,N/A,pedestrian,2011
driver,female,19,False,N/A,N/A,car,2011
pedestrian,female,46,False,Not on Crossing,Drivers N/Side,bicycle,2014
passenger,female,21,False,N/A,N/A,motorbike,2011
pedestrian,male,22,False,Not on Crossing,Drivers O/Side Msk,bicycle,2006
passenger,female,24,False,N/A,N/A,car,2011
passenger,female,33,True,N/A,N/A,motorbike,2013
passenger,female,25,False,N/A,N/A,car,2006
pedestrian,male,26,False,Pedestrian Crossing,Drivers N/Side,bicycle,2012
passenger,female,23,True,N/A,N/A,motorbike,2012
driver,female,27,False,N/A,N/A,car,2014
pedestrian,female,14,True,Close to Crossing,Drivers O/Side,bicycle,2006
passenger,female,20,False,N/A,N/A,car,2008
passenger,female,41,False,N/A,N/A,car,2008
passenger,male,19,False,N/A,N/A,car,2014
passenger,female,58,True,N/A,N/A,pedestrian,2006
driver,female,Unknown,False,N/A,N/A,car,2012
pedestrian,female,6,False,Not on Crossing,Drivers N/Side Msk,bicycle,2011
passenger,male,87,False,N/A,N/A,car,2006
passenger,female,20,False,N/A,N/A,motorbike,2010
driver,male,17,False,N/A,N/A,car,2005
driver,female,24,False,N/A,N/A,car,2011
pedestrian,male,Unknown,True,Pedestrian Crossing,Drivers N/Side,bicycle,2011
driver,female,13,False,N/A,N/A,car,2014
passenger,female,46,False,N/A,N/A,other,2008
passenger,male,50,True,N/A,N/A,car,2010
driver,female,23,False,N/A,N/A,bus,2005
driver,male,19,False,N/A,N/A,car,2012
passenger,male,43,False,N/A,N/A,car,2006
passenger,male,28,False,N/A,N/A,pedestrian,2008
pedestrian,male,24,False,Close to Crossing,Drivers N/Side,bicycle,2005
passenger,female,18,False,N/A,N/A,pedestrian,2014
passenger,female,23,False,N/A,N/A,motorbike,2012
driver,male,68,False,N/A,N/A,bus,2013
passenger,male,41,False,N/A,N/A,car,2011
driver,female,21,False,N/A,N/A,car,2011
driver,male,27,False,N/A,N/A,motorbike,2012
passenger,female,42,True,N/A,N/A,motorbike,2014
passenger,female,27,False,N/A,N/A,motorbike,2005
passenger,female,28,False,N/A,N/A,pedestrian,2005
passenger,female,35,False,N/A,N/A,pedestrian,2014
passenger,female,56,False,N/A,N/A,taxi,2013
passenger,male,43,False,N/A,N/A,car,2010
pedestrian,female,11,False,Not on Crossing,Drivers N/Side,bicycle,2006
passenger,female,20,False,N/A,N/A,car,2006
passenger,female,41,True,N/A,N/A,pedestrian,2008
passenger,male,22,False,N/A,N/A,car,2007
passenger,female,23,False,N/A,N/A,car,2008
driver,male,88,False,N/A,N/A,bus,2012
passenger,female,43,False,N/A,N/A,pedestrian,2013
passenger,female,25,False,N/A,N/A,motorbike,2005
driver,female,19,False,N/A,N/A,other,2009
pedestrian,male,43,False,Not on Crossing,Drivers N/Side,bicycle,2010
passenger,female,65,False,N/A,N/A,car,2010
passenger,female,44,False,N/A,N/A,motorbike,2008
