Category: All categories

Month,Sherlock Holmes: (Worldwide)
2004-01,14
2004-02,14
2004-03,14
2004-04,12
2004-05,13
2004-06,12
2004-07,10
2004-08,11
2004-09,14
2004-10,15
2004-11,14
2004-12,17
2005-01,16
2005-02,15
2005-03,13
2005-04,13
2005-05,13
2005-06,12
2005-07,12
2005-08,11
2005-09,12
2005-10,13
2005-11,13
2005-12,12
2006-01,11
2006-02,11
2006-03,11
2006-04,11
2006-05,16
2006-06,10
2006-07,9
2006-08,9
2006-09,10
2006-10,10
2006-11,11
2006-12,11
2007-01,12
2007-02,10
2007-03,10
2007-04,9
2007-05,10
2007-06,9
2007-07,9
2007-08,9
2007-09,9
2007-10,10
2007-11,11
2007-12,11
2008-01,11
2008-02,10
2008-03,9
2008-04,9
2008-05,10
2008-06,9
2008-07,9
2008-08,9
2008-09,10
2008-10,10
2008-11,11
2008-12,10
2009-01,11
2009-02,10
2009-03,10
2009-04,10
2009-05,12
2009-06,10
2009-07,11
2009-08,11
2009-09,11
2009-10,12
2009-11,14
2009-12,48
2010-01,100
2010-02,56
2010-03,35
2010-04,33
2010-05,27
2010-06,22
2010-07,23
2010-08,25
2010-09,20
2010-10,21
2010-11,20
2010-12,20
2011-01,22
2011-02,19
2011-03,16
2011-04,15
2011-05,16
2011-06,16
2011-07,20
2011-08,20
2011-09,18
2011-10,18
2011-11,20
2011-12,58
2012-01,93
2012-02,48
2012-03,37
2012-04,31
2012-05,34
2012-06,30
2012-07,27
2012-08,24
2012-09,25
2012-10,25
2012-11,24
2012-12,25
2013-01,28
2013-02,24
2013-03,24
2013-04,21
2013-05,23
2013-06,22
2013-07,21
2013-08,21
2013-09,22
2013-10,21
2013-11,24
2013-12,26
2014-01,57
2014-02,30
2014-03,25
2014-04,22
2014-05,22
2014-06,23
2014-07,20
2014-08,20
2014-09,20
2014-10,24
2014-11,24
2014-12,23
2015-01,31
2015-02,23
2015-03,21
2015-04,20
2015-05,20
2015-06,19
2015-07,20
2015-08,20
2015-09,19
2015-10,20
2015-11,21
2015-12,24
2016-01,48
2016-02,22
2016-03,20
2016-04,19
2016-05,19
2016-06,19
2016-07,18
2016-08,17
2016-09,17
2016-10,17
2016-11,19
2016-12,23
2017-01,69
2017-02,26
2017-03,20
2017-04,18
2017-05,18
2017-06,19
2017-07,19
2017-08,18
2017-09,17
2017-10,17
2017-11,18
2017-12,20
2018-01,22
2018-02,18
2018-03,19
2018-04,18
2018-05,19
2018-06,17
2018-07,17
2018-08,17
2018-09,17
2018-10,16
2018-11,16
2018-12,20
2019-01,20
2019-02,16
2019-03,17
2019-04,18
